 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Max Intensity, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, N.Points, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
1.897,1.21,1.33,0.4937,0.1388,0.8101,-3.114,-2.379,-0.7351,0.6006,0.3686,0.9329,219,47.18,40.75,0.2011,0.2476,0.01248,0.588,0.2782,0.1969,0.3544,1.468,101,0.2841,2.02,0.006691,18.74,-0.01023,1
1.439,1.21,1.705,0.5045,0.1429,0.8222,-3.099,-2.194,-0.9046,0.5852,0.3673,0.9203,255,53.22,49.36,0.2229,0.3239,0.01866,0.3484,0.4942,0.1988,0.3471,1.277,100,0.2841,2.02,0.006691,18.74,-0.01023,1
2.246,1.1,1.779,0.5692,0.1553,0.8438,-3.939,-2.641,-1.298,0.5996,0.4104,0.9034,252,52.08,50.38,0.5284,0.4503,0.04461,0.7038,0.4742,0.1763,0.4515,1.466,106,0.2841,2.02,0.006691,18.74,-0.01023,1
2,1.1,1.953,0.5776,0.1563,0.843,-4.074,-2.809,-1.265,0.6085,0.4207,0.9094,235,51.17,45.2,0.1837,0.4901,0.04849,0.6219,0.532,0.1757,0.4432,1.885,100,0.2841,2.02,0.006691,18.74,-0.01023,1
2.491,1.24,1.676,0.5967,0.1669,0.8664,-3.356,-2.357,-0.9983,0.5923,0.4345,0.9085,255,51.79,48.48,0.2441,0.2605,0.01587,0.8684,0.3954,0.2124,0.492,1.598,102,0.2841,2.02,0.006691,18.74,-0.01023,1
1.643,1.08,1.57,0.4638,0.13,0.7897,-3.238,-2.387,-0.8506,0.5978,0.3427,0.9348,255,52.34,49.14,0.2315,0.366,0.04204,0.4323,0.3912,0.1681,0.3305,1.133,100,0.2841,2.02,0.006691,18.74,-0.01023,1
1.966,1.21,1.745,0.4893,0.1386,0.813,-3.14,-2.161,-0.9795,0.5815,0.3533,0.9267,227,51.06,47.57,0.08467,0.3349,0.01765,0.5833,0.409,0.1946,0.3956,1.505,106,0.2841,2.02,0.006691,18.74,-0.01023,1
2.267,1.22,1.676,0.5804,0.161,0.8567,-3.598,-2.393,-1.205,0.5892,0.4164,0.9286,255,52.65,48.58,0.4922,0.3689,0.01819,0.7174,0.4484,0.2012,0.4557,1.367,106,0.2841,2.02,0.006691,18.74,-0.01023,1
2.519,1.11,1.702,0.6017,0.1633,0.8513,-3.851,-2.876,-0.975,0.6199,0.4498,0.8843,209,48.61,40.07,0.3498,0.2463,0.061,0.8946,0.3951,0.1845,0.4914,1.719,97,0.2841,2.02,0.006691,18.74,-0.01023,1
1.609,1.09,1.588,0.4616,0.1239,0.772,-4.107,-3.023,-1.084,0.6235,0.3441,0.9427,238,51.58,48.97,0.2553,0.3431,0.04662,0.4122,0.408,0.1663,0.3288,1.152,101,0.2841,2.02,0.006691,18.74,-0.01023,1
2.009,1.11,1.508,0.4871,0.1356,0.8022,-3.32,-2.502,-0.8182,0.6052,0.363,0.8722,239,53.23,49.93,0.0111,0.2296,0.0565,0.6225,0.3146,0.1786,0.3719,1.414,105,0.2841,2.02,0.006691,18.74,-0.01023,1
1.695,1.22,1.638,0.5019,0.1437,0.8248,-2.881,-2.066,-0.8146,0.5796,0.3658,0.9221,209,48.85,43.18,0.354,0.2151,0.03049,0.4493,0.4362,0.2034,0.363,0.78,101,0.2841,2.02,0.006691,18.74,-0.01023,1
1.938,1.1,1.078,0.3972,0.1003,0.695,-3.991,-3.791,-0.2004,0.694,0.3309,0.9963,255,53.63,49.32,0.1062,0.1153,0.06151,0.5746,0.1663,0.167,0.3026,0.9613,105,0.2841,2.02,0.006691,18.74,-0.01023,1
1.923,1.09,1.415,0.4663,0.1284,0.7847,-3.606,-2.64,-0.9659,0.6083,0.3453,0.9404,233,49,43.08,0.0657,0.2241,0.04694,0.5896,0.2826,0.1679,0.3467,1.386,101,0.2841,2.02,0.006691,18.74,-0.01023,1
1.801,1.09,2.508,0.5716,0.1558,0.8437,-3.92,-2.691,-1.229,0.6038,0.4152,0.9417,237,52.74,48.34,0.3455,0.2777,0.05217,0.4256,0.8675,0.1723,0.4884,1.975,100,0.2841,2.02,0.006691,18.74,-0.01023,1
1.63,1.12,1.426,0.4724,0.1318,0.7925,-3.214,-2.495,-0.7189,0.6078,0.3552,0.8972,255,52.39,51.09,0.3005,0.2731,0.05347,0.448,0.3401,0.1796,0.3226,1.489,108,0.2841,2.02,0.006691,18.74,-0.01023,1
1.637,1.24,2.465,0.6,0.167,0.8651,-3.435,-2.441,-0.9942,0.597,0.439,0.8937,237,53.57,50.01,0.2245,0.1406,0.008728,0.3895,0.8557,0.2129,0.486,1.243,105,0.2841,2.02,0.006691,18.74,-0.01023,1
1.685,1.08,1.601,0.4591,0.1265,0.7802,-3.582,-2.621,-0.9608,0.6075,0.3397,0.957,255,53,51.22,0.2144,0.3635,0.03186,0.4462,0.3944,0.166,0.3355,1.144,109,0.2841,2.02,0.006691,18.74,-0.01023,1
1.956,1.31,1.752,0.5135,0.146,0.8307,-3.075,-2.08,-0.9949,0.5764,0.3686,0.9123,255,52.62,52.05,0.1087,0.3287,0.009,0.5781,0.4297,0.2233,0.4104,1.486,107,0.2841,2.02,0.006691,18.74,-0.01023,1
2.104,1.22,1.738,0.5862,0.1631,0.8601,-3.495,-2.389,-1.105,0.5914,0.4238,0.9174,227,50.52,46.98,0.5185,0.3279,0.02268,0.6269,0.4997,0.2041,0.4436,1.31,106,0.2841,2.02,0.006691,18.74,-0.01023,1
2.354,1.08,1.586,0.5588,0.1516,0.8321,-3.869,-2.872,-0.9977,0.619,0.4169,0.8973,219,49.53,42.44,0.5031,0.3501,0.0525,0.761,0.3946,0.172,0.4425,1.738,99,0.2841,2.02,0.006691,18.74,-0.01023,1
1.962,1.22,1.735,0.4937,0.1405,0.8173,-3.002,-2.132,-0.8699,0.5824,0.3594,0.937,255,53.75,51.33,0.1086,0.3288,0.0313,0.581,0.4083,0.2,0.3964,1.215,110,0.2841,2.02,0.006691,18.74,-0.01023,1
1.584,1.08,2.407,0.5382,0.147,0.8264,-3.827,-2.71,-1.117,0.6076,0.3948,0.8979,219,50.04,44.12,0.3526,0.4595,0.05931,0.3725,0.7861,0.1685,0.4424,0.864,98,0.2841,2.02,0.006691,18.74,-0.01023,1
1.751,1.09,1.401,0.4026,0.102,0.7005,-4.104,-3.821,-0.2826,0.691,0.3327,0.9806,227,51.27,47.91,0.151,0.3092,0.06363,0.4961,0.258,0.1668,0.3069,1.243,104,0.2841,2.02,0.006691,18.74,-0.01023,1
1.611,1.22,2.399,0.5863,0.1576,0.8395,-4.018,-3.039,-0.9786,0.6275,0.4413,0.9056,242,52.13,49.19,0.3553,0.4422,0.002499,0.3884,0.8168,0.2012,0.4688,2.011,97,0.2841,2.02,0.006691,18.74,-0.01023,1
1.618,1.09,1.465,0.4638,0.1304,0.79,-3.112,-2.378,-0.7343,0.6006,0.3463,0.9221,255,51.65,49.7,0.3344,0.2577,0.0426,0.4339,0.354,0.1719,0.3199,0.6712,99,0.2841,2.02,0.006691,18.74,-0.01023,1
2.479,1.09,1.415,0.5244,0.1265,0.7524,-5.046,-4.652,-0.3946,0.7163,0.4378,0.9444,255,53.33,50.21,0.4099,0.3074,0.0824,0.8758,0.2614,0.1651,0.4341,1.311,106,0.2841,2.02,0.006691,18.74,-0.01023,1
1.839,1.08,2.204,0.5776,0.1549,0.8358,-4.125,-3.048,-1.077,0.6249,0.4313,0.9094,209,47.76,39.77,0.4291,0.09316,0.0584,0.4823,0.7078,0.1715,0.4539,1.684,99,0.2841,2.02,0.006691,18.74,-0.01023,1
1.59,1.08,1.746,0.4723,0.1312,0.7912,-3.334,-2.544,-0.7904,0.6084,0.3536,0.9419,255,53.86,51.35,0.3551,0.2083,0.0367,0.3882,0.4777,0.1686,0.3448,0.7974,108,0.2841,2.02,0.006691,18.74,-0.01023,1
1.525,1.09,2.305,0.5313,0.1258,0.7477,-5.471,-5.009,-0.4622,0.7244,0.4444,0.9382,219,51.1,46.8,0.382,0.512,0.0832,0.3288,0.7747,0.1634,0.4223,0.745,105,0.2841,2.02,0.006691,18.74,-0.01023,1
1.376,1.09,1.673,0.4632,0.1304,0.7903,-3.079,-2.353,-0.7258,0.5994,0.3457,0.9259,248,50.69,48.73,0.2365,0.2693,0.04187,0.3104,0.4705,0.1723,0.3177,1.085,99,0.2841,2.02,0.006691,18.74,-0.01023,1
1.791,1.09,1.182,0.4477,0.1201,0.7617,-4.111,-3.054,-1.057,0.6257,0.335,0.9396,237,52.57,50.34,0.1684,0.2162,0.03969,0.5247,0.24,0.1657,0.3101,1.335,103,0.2841,2.02,0.006691,18.74,-0.01023,1
1.924,1.23,1.577,0.4868,0.1371,0.8081,-3.198,-2.284,-0.9144,0.5903,0.3558,0.9254,255,51.78,48.91,0.06286,0.2979,0.03598,0.5942,0.3317,0.2026,0.3762,1.494,101,0.2841,2.02,0.006691,18.74,-0.01023,1
1.499,1.21,1.616,0.4895,0.1378,0.8081,-3.115,-2.354,-0.761,0.5984,0.3641,0.9492,255,54.31,52.38,0.2135,0.3444,0.007079,0.3807,0.4405,0.1951,0.3387,1.271,102,0.2841,2.02,0.006691,18.74,-0.01023,1
2.394,1.09,1.683,0.5913,0.1559,0.833,-4.452,-3.343,-1.109,0.6368,0.4456,0.8978,246,51.46,48.21,0.4536,0.3122,0.05837,0.8247,0.4048,0.1743,0.4679,1.733,99,0.2841,2.02,0.006691,18.74,-0.01023,1
1.718,1.08,1.592,0.4749,0.1271,0.7823,-4.312,-2.97,-1.342,0.6138,0.3464,0.9275,248,50.03,46.3,0.3958,0.255,0.02134,0.46,0.4034,0.1658,0.3431,0.7122,98,0.2841,2.02,0.006691,18.74,-0.01023,1
1.579,1.09,2.189,0.5215,0.1249,0.7478,-5.121,-4.745,-0.3752,0.7204,0.4371,0.9455,219,52.27,48.68,0.3969,0.5375,0.081,0.3606,0.7024,0.1649,0.4093,0.6817,99,0.2841,2.02,0.006691,18.74,-0.01023,1
1.229,1.09,1.819,0.3878,0.09786,0.6873,-3.804,-3.703,-0.1011,0.6957,0.326,0.9989,255,55.01,52.62,0.2135,0.2005,0.06174,0.2246,0.5041,0.1597,0.2961,1.09,106,0.2841,2.02,0.006691,18.74,-0.01023,1
1.982,1.1,1.536,0.4651,0.1265,0.7814,-3.952,-2.734,-1.219,0.6061,0.3388,0.8894,242,52.87,51.88,0.02168,0.2688,0.0324,0.6027,0.3143,0.1729,0.3633,1.419,100,0.2841,2.02,0.006691,18.74,-0.01023,1
1.989,1.12,1.023,0.4072,0.1029,0.7026,-4.003,-3.794,-0.2093,0.6937,0.3389,0.9709,255,53.65,52.62,0.1285,0.1141,0.07674,0.6088,0.1472,0.1728,0.3096,0.9531,100,0.2841,2.02,0.006691,18.74,-0.01023,1
1.91,1.09,1.379,0.448,0.1213,0.7644,-3.837,-2.933,-0.9039,0.6249,0.3378,0.941,248,50.44,48.25,0.06238,0.2446,0.03964,0.5797,0.2632,0.1668,0.3366,1.381,98,0.2841,2.02,0.006691,18.74,-0.01023,1
2.511,1.1,1.602,0.5679,0.1561,0.8436,-3.654,-2.642,-1.012,0.6071,0.4189,0.8862,219,49.87,41.79,0.1869,0.1592,0.05547,0.865,0.3639,0.1793,0.4694,1.437,99,0.2841,2.02,0.006691,18.74,-0.01023,1
2.022,1.1,1.616,0.4914,0.1333,0.7964,-3.955,-2.824,-1.131,0.6128,0.3619,0.9219,218,53.59,49.72,0.03399,0.2746,0.04618,0.6354,0.3434,0.1718,0.3835,1.458,103,0.2841,2.02,0.006691,18.74,-0.01023,1
2.526,1.09,1.517,0.5844,0.1561,0.8354,-4.134,-3.145,-0.9891,0.632,0.4413,0.9206,255,51.03,48.21,0.211,0.2376,0.0584,0.8981,0.3344,0.1745,0.469,1.563,106,0.2841,2.02,0.006691,18.74,-0.01023,1
1.455,1.09,1.937,0.4801,0.1356,0.8042,-3.123,-2.271,-0.8517,0.5911,0.3527,0.8957,220,51.64,47.39,0.2143,0.02478,0.03263,0.2974,0.5942,0.1767,0.3561,1.118,102,0.2841,2.02,0.006691,18.74,-0.01023,1
2.371,1.09,1.59,0.5774,0.1558,0.8388,-4,-2.944,-1.056,0.6207,0.43,0.9139,227,50.98,44.59,0.488,0.3412,0.05622,0.7904,0.3909,0.1742,0.4518,1.333,100,0.2841,2.02,0.006691,18.74,-0.01023,1
2.411,1.22,1.75,0.5924,0.1633,0.8577,-3.672,-2.554,-1.118,0.5997,0.4313,0.9171,238,52.69,48.65,0.04494,0.2304,0.001885,0.82,0.4336,0.2022,0.4853,1.603,101,0.2841,2.02,0.006691,18.74,-0.01023,1
2.229,1.22,1.63,0.622,0.1671,0.8559,-4.145,-2.996,-1.149,0.6203,0.4608,0.8919,255,53.27,48.86,0.4981,0.3282,8.95E-05,0.7268,0.4519,0.2028,0.4605,1.685,108,0.2841,2.02,0.006691,18.74,-0.01023,1
1.562,1.24,1.63,0.4915,0.142,0.8206,-2.635,-2.003,-0.6314,0.5801,0.3636,0.885,242,52.37,49.05,0.2554,0.3289,0.01903,0.3862,0.447,0.211,0.3481,1.144,98,0.2841,2.02,0.006691,18.74,-0.01023,1
2.193,1.24,1.642,0.6035,0.167,0.8635,-3.551,-2.531,-1.02,0.6011,0.4425,0.8952,219,48.84,40.87,0.5372,0.313,0.001192,0.6748,0.4712,0.2112,0.4524,1.264,103,0.2841,2.02,0.006691,18.74,-0.01023,1
2.504,1.1,1.861,0.5771,0.157,0.8455,-3.983,-2.716,-1.267,0.604,0.4185,0.9079,223,50.69,47.79,0.3213,0.38,0.04519,0.865,0.4482,0.1762,0.4965,1.667,107,0.2841,2.02,0.006691,18.74,-0.01023,1
1.285,1.09,1.746,0.4591,0.1278,0.7834,-3.348,-2.496,-0.8515,0.6039,0.341,0.9338,255,53.71,51.47,0.1985,0.1741,0.04174,0.2686,0.5115,0.1696,0.3166,1.137,109,0.2841,2.02,0.006691,18.74,-0.01023,1
1.581,1.08,2.501,0.5548,0.1503,0.8301,-3.951,-2.88,-1.071,0.6172,0.4116,0.9083,219,48.53,41.63,0.3018,0.3437,0.05943,0.3569,0.8551,0.1695,0.4605,1.03,100,0.2841,2.02,0.006691,18.74,-0.01023,1
1.09,1.08,1.957,0.4025,0.1001,0.6941,-4.36,-4.078,-0.2826,0.7013,0.3349,0.9941,237,52.35,49.48,0.1492,0.02515,0.06882,0.1568,0.6008,0.1604,0.306,1.179,108,0.2841,2.02,0.006691,18.74,-0.01023,1
1.61,1.09,2.504,0.5858,0.1565,0.8369,-4.184,-3.128,-1.057,0.6291,0.4396,0.897,218,53.24,50.24,0.314,0.4297,0.05695,0.3715,0.8777,0.1742,0.4745,2.02,101,0.2841,2.02,0.006691,18.74,-0.01023,1
1.369,1.08,1.7,0.4689,0.1298,0.7882,-3.478,-2.571,-0.9068,0.6064,0.3478,0.9185,252,53.29,51.59,0.2348,0.2436,0.04418,0.3076,0.4886,0.1669,0.3211,1.101,101,0.2841,2.02,0.006691,18.74,-0.01023,1
2.511,1.1,1.919,0.5746,0.1567,0.846,-3.934,-2.656,-1.279,0.6008,0.4152,0.9004,223,50.95,47.98,0.3228,0.4238,0.04519,0.8635,0.4674,0.1769,0.5026,1.669,105,0.2841,2.02,0.006691,18.74,-0.01023,1
2.482,1.11,1.635,0.5954,0.1596,0.8432,-4.139,-3.057,-1.082,0.6251,0.4446,0.9014,255,53.38,50.52,0.4434,0.3059,0.0563,0.8621,0.3911,0.1809,0.4781,1.76,108,0.2841,2.02,0.006691,18.74,-0.01023,1
1.6,1.08,1.795,0.4669,0.129,0.7853,-3.445,-2.625,-0.8195,0.6119,0.3499,0.9116,255,51.76,49.48,0.3417,0.1875,0.04566,0.379,0.5006,0.1662,0.3486,0.8448,107,0.2841,2.02,0.006691,18.74,-0.01023,1
2.048,1.09,1.902,0.5251,0.1256,0.7491,-5.177,-4.78,-0.3973,0.7204,0.4395,0.9459,223,52.31,49.3,0.2352,0.5045,0.081,0.5888,0.5216,0.1647,0.425,1.925,97,0.2841,2.02,0.006691,18.74,-0.01023,1
1.809,1.22,1.899,0.4994,0.1392,0.8132,-3.448,-2.378,-1.07,0.5917,0.3619,0.9472,248,49.7,45.36,0.355,0.1355,0.01768,0.4529,0.5481,0.1956,0.3989,1.662,105,0.2841,2.02,0.006691,18.74,-0.01023,1
2.407,1.09,1.6,0.5803,0.1554,0.8369,-4.19,-3.056,-1.134,0.6235,0.4315,0.9023,223,52.61,49.27,0.5138,0.3593,0.0551,0.8112,0.3911,0.1729,0.4584,1.349,98,0.2841,2.02,0.006691,18.74,-0.01023,1
1.721,1.22,2.304,0.6189,0.1682,0.8618,-3.95,-2.772,-1.177,0.609,0.4531,0.8789,233,52.6,48.84,0.2929,0.5204,0.003485,0.4592,0.7685,0.2047,0.4775,2.032,104,0.2841,2.02,0.006691,18.74,-0.01023,1
2.492,1.22,1.646,0.604,0.1658,0.8614,-3.778,-2.592,-1.185,0.6,0.4382,0.9185,255,52.19,49.01,0.3954,0.2678,0.006508,0.8693,0.3996,0.2026,0.4905,1.733,100,0.2841,2.02,0.006691,18.74,-0.01023,1
1.918,1.21,1.395,0.48,0.1374,0.8083,-2.752,-2.143,-0.6094,0.5898,0.3586,0.9433,246,51,48.84,0.1753,0.2644,0.01784,0.5857,0.2857,0.1993,0.3569,0.8955,98,0.2841,2.02,0.006691,18.74,-0.01023,1
1.583,1.09,2.244,0.5726,0.1488,0.82,-4.835,-3.556,-1.279,0.6402,0.4294,0.901,223,50.9,48.09,0.3265,0.5412,0.06058,0.4097,0.7233,0.1672,0.4334,2.004,105,0.2841,2.02,0.006691,18.74,-0.01023,1
2.001,1.22,1.595,0.5054,0.145,0.8274,-2.811,-2.061,-0.7502,0.5808,0.3706,0.9167,219,53.92,49.56,0.1019,0.2772,0.02567,0.6258,0.3447,0.2046,0.3917,1.539,97,0.2841,2.02,0.006691,18.74,-0.01023,1
1.633,1.24,2.428,0.6173,0.169,0.8647,-3.8,-2.664,-1.135,0.6049,0.4512,0.8969,255,51.59,48.93,0.2481,0.07771,0.002182,0.4072,0.8417,0.2102,0.4864,1.271,108,0.2841,2.02,0.006691,18.74,-0.01023,1
2.507,1.12,1.423,0.5293,0.1289,0.7584,-4.816,-4.464,-0.3528,0.712,0.4416,0.9227,255,53.22,51.09,0.1182,0.2658,0.08703,0.8787,0.2721,0.1753,0.442,1.442,109,0.2841,2.02,0.006691,18.74,-0.01023,1
2.017,1.17,1.951,0.5746,0.1568,0.845,-3.879,-2.697,-1.182,0.6053,0.419,0.8559,218,50.45,46.91,0.5011,0.2082,0.09859,0.5595,0.5924,0.1929,0.4483,1.288,99,0.2841,2.02,0.006691,18.74,-0.01023,1
2.541,1.09,1.217,0.5257,0.1249,0.7474,-5.514,-5,-0.5144,0.7215,0.4376,0.9442,223,52.29,49.4,0.2646,0.1639,0.08429,0.9152,0.2077,0.1631,0.4287,1.268,98,0.2841,2.02,0.006691,18.74,-0.01023,1
2.449,1.24,1.75,0.6198,0.169,0.8621,-3.81,-2.776,-1.034,0.6132,0.4591,0.8793,233,53.56,50.88,0.44,0.2752,0.003304,0.8552,0.4362,0.2117,0.501,1.769,106,0.2841,2.02,0.006691,18.74,-0.01023,1
1.982,1.1,1.278,0.4145,0.1031,0.7016,-3.83,-3.803,-0.02725,0.7044,0.3524,0.9752,255,52.79,49.51,0.1566,0.1934,0.0578,0.6025,0.2134,0.1629,0.3263,1.231,107,0.2841,2.02,0.006691,18.74,-0.01023,1
1.921,1.08,1.199,0.4717,0.1297,0.7867,-3.544,-2.693,-0.8506,0.6145,0.3536,0.9298,255,52.26,48.4,0.1917,0.1864,0.04284,0.5911,0.237,0.1682,0.3321,1.395,107,0.2841,2.02,0.006691,18.74,-0.01023,1
1.637,1.24,2.21,0.5975,0.1651,0.8619,-3.632,-2.49,-1.141,0.5959,0.4329,0.8869,248,51.05,49.28,0.3309,0.5123,0.001482,0.4505,0.6959,0.2096,0.452,1.984,98,0.2841,2.02,0.006691,18.74,-0.01023,1
1.954,1.23,1.709,0.5009,0.1433,0.8238,-2.896,-2.074,-0.822,0.5799,0.365,0.9121,237,53.11,49.98,0.07542,0.3095,0.02364,0.5869,0.3965,0.205,0.3961,1.185,104,0.2841,2.02,0.006691,18.74,-0.01023,1
2.246,1.22,1.679,0.6024,0.1637,0.8569,-4.02,-2.702,-1.318,0.6021,0.4349,0.9041,233,53.18,48.45,0.5444,0.3062,0.007598,0.7167,0.466,0.199,0.4606,1.751,99,0.2841,2.02,0.006691,18.74,-0.01023,1
1.756,1.22,1.359,0.4969,0.1414,0.8182,-2.953,-2.181,-0.7718,0.5878,0.366,0.9075,234,55.14,51.69,0.2608,0.2104,0.0102,0.5227,0.3083,0.2008,0.3439,0.7752,100,0.2841,2.02,0.006691,18.74,-0.01023,1
2.387,1.23,1.69,0.5819,0.1628,0.8606,-3.403,-2.308,-1.095,0.5872,0.4193,0.9218,227,51.21,47.85,0.4828,0.3418,0.01481,0.779,0.4347,0.2069,0.4736,1.383,105,0.2841,2.02,0.006691,18.74,-0.01023,1
2.51,1.22,1.665,0.5871,0.1622,0.8554,-3.58,-2.556,-1.024,0.6023,0.4308,0.8832,237,52.61,50.43,0.3903,0.28,0.006387,0.8656,0.3965,0.205,0.489,1.735,99,0.2841,2.02,0.006691,18.74,-0.01023,1
1.954,1.11,1.394,0.4732,0.1306,0.7894,-3.479,-2.633,-0.8469,0.6114,0.3539,0.9024,255,51.65,49.28,0.03934,0.2438,0.0539,0.6054,0.2756,0.1752,0.352,1.042,97,0.2841,2.02,0.006691,18.74,-0.01023,1
1.986,1.09,0.9658,0.406,0.09997,0.6922,-4.139,-4.035,-0.1039,0.7095,0.3441,0.9754,233,53.81,50.12,0.003985,0.1211,0.07413,0.6165,0.1369,0.1579,0.3038,1.159,109,0.2841,2.02,0.006691,18.74,-0.01023,1
1.808,1.22,1.331,0.4998,0.1406,0.8175,-3.293,-2.232,-1.061,0.5838,0.3597,0.946,219,50.25,46.65,0.3058,0.2473,0.0276,0.5365,0.3101,0.1973,0.348,1.515,99,0.2841,2.02,0.006691,18.74,-0.01023,1
1.333,1.08,1.692,0.4772,0.1306,0.7877,-3.571,-2.782,-0.7891,0.6211,0.3612,0.9303,248,50.97,48.92,0.2295,0.2848,0.0472,0.3026,0.4907,0.1679,0.3204,1.212,98,0.2841,2.02,0.006691,18.74,-0.01023,1
2.432,1.09,1.646,0.568,0.154,0.8364,-3.904,-2.88,-1.024,0.6186,0.423,0.9272,234,52.65,50.58,0.4457,0.3333,0.05425,0.8217,0.3911,0.173,0.4619,1.39,107,0.2841,2.02,0.006691,18.74,-0.01023,1
2.396,1.11,1.711,0.6095,0.1622,0.8452,-4.27,-3.178,-1.092,0.6302,0.457,0.8852,255,52.34,50.67,0.4549,0.2862,0.06136,0.8244,0.4294,0.1809,0.4782,1.748,101,0.2841,2.02,0.006691,18.74,-0.01023,1
1.884,1.09,1.618,0.4706,0.1309,0.7905,-3.318,-2.528,-0.7894,0.6075,0.3521,0.9119,227,52.04,47.88,0.1477,0.3428,0.0444,0.5452,0.3674,0.171,0.3612,1.185,104,0.2841,2.02,0.006691,18.74,-0.01023,1
2.394,1.09,1.77,0.5733,0.1567,0.8482,-3.953,-2.534,-1.419,0.5916,0.4076,0.9348,248,55.08,52.05,0.1533,0.334,0.04863,0.8106,0.4283,0.1722,0.4704,1.605,101,0.2841,2.02,0.006691,18.74,-0.01023,1
1.995,1.23,1.689,0.5045,0.1415,0.8194,-3.354,-2.266,-1.087,0.5851,0.363,0.9284,237,55.18,51.93,0.02937,0.2954,0.02757,0.6167,0.3829,0.2004,0.4,1.496,105,0.2841,2.02,0.006691,18.74,-0.01023,1
1.785,1.24,2.521,0.6158,0.1689,0.8647,-3.733,-2.646,-1.087,0.6052,0.4514,0.8722,224,52.07,49.93,0.2166,0.2856,0.002202,0.4296,0.8976,0.2118,0.513,1.186,107,0.2841,2.02,0.006691,18.74,-0.01023,1
2.161,1.09,1.494,0.4924,0.1178,0.7344,-5.259,-4.821,-0.4378,0.7197,0.411,0.947,223,52.59,49.9,0.5774,0.3225,0.07532,0.6671,0.3396,0.1597,0.3888,1.182,101,0.2841,2.02,0.006691,18.74,-0.01023,1
2.518,1.22,1.714,0.6125,0.1658,0.8564,-4.008,-2.864,-1.145,0.6143,0.4514,0.8997,233,52.44,48.79,0.161,0.2022,0.0001848,0.8972,0.4106,0.2022,0.5034,1.526,108,0.2841,2.02,0.006691,18.74,-0.01023,1
2.404,1.09,1.452,0.5529,0.1298,0.7537,-5.855,-5.263,-0.592,0.7256,0.4598,0.9194,209,48.05,40.1,0.4581,0.3329,0.091,0.8586,0.2876,0.1631,0.4364,1.706,100,0.2841,2.02,0.006691,18.74,-0.01023,1
1.899,1.22,2.255,0.5993,0.1654,0.861,-3.628,-2.548,-1.08,0.6004,0.4375,0.9036,255,52.7,50.54,0.3334,0.05736,0.009443,0.5015,0.7418,0.2045,0.4826,1.671,101,0.2841,2.02,0.006691,18.74,-0.01023,1
1.802,1.22,1.261,0.4814,0.1378,0.8098,-2.782,-2.124,-0.6575,0.5873,0.3575,0.9386,219,51.97,46.18,0.2523,0.2037,0.01284,0.5336,0.2734,0.2015,0.3362,0.7766,105,0.2841,2.02,0.006691,18.74,-0.01023,1
1.756,1.09,2.246,0.5664,0.1534,0.8393,-4.099,-2.748,-1.351,0.6034,0.4088,0.9192,237,52.63,48.5,0.326,0.02934,0.0498,0.4338,0.7388,0.1703,0.4476,1.225,101,0.2841,2.02,0.006691,18.74,-0.01023,1
1.409,1.09,2.479,0.526,0.1266,0.7531,-5.284,-4.78,-0.5045,0.715,0.436,0.9124,223,52.07,48.09,0.2821,0.4253,0.08411,0.2623,0.8745,0.1659,0.4342,1.935,102,0.2841,2.02,0.006691,18.74,-0.01023,1
2.481,1.11,1.668,0.6057,0.1618,0.8466,-4.255,-3.093,-1.161,0.6244,0.4501,0.8866,219,49.38,44.03,0.3915,0.2861,0.05614,0.8791,0.394,0.1798,0.4843,1.721,104,0.2841,2.02,0.006691,18.74,-0.01023,1
1.283,1.09,1.742,0.3928,0.09842,0.6887,-3.94,-3.818,-0.1217,0.6996,0.3304,0.9955,255,54.45,51.55,0.2451,0.2252,0.06599,0.2506,0.4716,0.1595,0.2939,1.165,111,0.2841,2.02,0.006691,18.74,-0.01023,1
1.848,1.11,2.06,0.6063,0.163,0.8481,-4.035,-3.034,-1.001,0.6265,0.4553,0.882,224,51.88,46.13,0.2577,0.4941,0.0613,0.5449,0.6191,0.1832,0.4491,1.929,103,0.2841,2.02,0.006691,18.74,-0.01023,1
1.653,1.09,1.575,0.462,0.1272,0.782,-3.608,-2.628,-0.9795,0.6073,0.3415,0.9498,255,52.21,50.84,0.2229,0.3611,0.03929,0.4341,0.3928,0.1685,0.3318,1.133,108,0.2841,2.02,0.006691,18.74,-0.01023,1
1.618,1.08,1.825,0.4688,0.1313,0.7917,-3.162,-2.439,-0.723,0.6045,0.3514,0.9123,255,52.61,50.25,0.3271,0.1146,0.0401,0.3687,0.5226,0.1703,0.3539,1.532,109,0.2841,2.02,0.006691,18.74,-0.01023,1
1.916,1.09,1.791,0.4824,0.1331,0.798,-3.661,-2.532,-1.129,0.5984,0.3505,0.9356,224,48.16,41.94,0.1279,0.3654,0.0303,0.5541,0.4289,0.1718,0.3849,1.51,101,0.2841,2.02,0.006691,18.74,-0.01023,1
